Designator,Mid X,Mid Y,Rotation,Layer
,104.8512,-41.6306,0.0,top
BAT1,99.314,-93.965801,90.0,bottom
BAT2,111.802395,-132.011531,270.0,bottom
BAT3,99.314,-130.9878,90.0,bottom
BAT4,111.802396,-94.989531,270.0,bottom
BAT5,151.857494,-101.115053,54.0,bottom
BAT6,173.615687,-131.053287,54.0,bottom
C1,112.455375,-79.739004,295.0,bottom
C10,115.199209,-46.7434,60.0,bottom
C11,116.52001,-49.031093,240.0,bottom
C12,122.223865,-38.18807,60.0,bottom
C13,105.5624,-44.8056,60.0,bottom
C14,137.971793,-90.492531,0.0,bottom
C15,128.1912,-124.4092,180.0,bottom
C16,143.0782,-112.3442,90.0,bottom
C2,109.815618,-77.700833,205.0,bottom
C3,134.014595,-89.654332,180.0,bottom
C4,130.506794,-87.89973,90.0,bottom
C5,126.772994,-88.158332,270.0,bottom
C6,108.530946,-51.29723,240.0,bottom
C7,107.088794,-43.51266,60.0,bottom
C8,109.445527,-50.798526,240.0,bottom
C9,120.534793,-39.17411,60.0,bottom
CN1,134.128994,-83.009531,180.0,bottom
CN16,112.840795,-39.666122,330.0,bottom
CN2,136.770595,-71.714731,0.0,bottom
D1,115.486313,-73.462032,295.0,bottom
J1,131.716897,-116.722936,0.0,top
LED1,132.751241,-130.918176,0.0,bottom
R1,113.7412,-75.3364,25.0,bottom
R10,110.245316,-48.577003,330.0,bottom
R11,110.584951,-52.640248,60.0,bottom
R12,136.016593,-90.492532,180.0,bottom
R13,128.068394,-88.155732,270.0,bottom
R14,120.269,-115.4938,0.0,bottom
R15,120.3178,-116.586,0.0,bottom
R16,123.19,-120.5484,0.0,bottom
R17,139.1392,-115.3414,0.0,bottom
R2,111.94177,-78.376268,295.0,bottom
R3,115.287526,-70.325778,295.0,bottom
R4,125.972182,-46.406788,70.0,bottom
R5,109.944049,-46.911606,240.0,bottom
R6,107.64177,-51.839926,60.0,bottom
R7,108.531277,-49.566604,330.0,bottom
R8,118.537194,-36.743159,240.0,bottom
R9,109.0158,-43.500327,60.0,bottom
SPK1,123.576334,-61.451541,160.0,bottom
SW1,98.74260955046061,-84.80902413624703,225.0,bottom
SW2,138.548594,-88.267331,0.0,bottom
TP1,142.380001,-143.326035,191.0,bottom
TP2,144.873334,-143.810691,191.0,bottom
TP3,147.366667,-144.295346,191.0,bottom
TP4,149.86,-144.78,191.0,bottom
TP5,152.353333,-145.264655,191.0,bottom
TP6,154.846666,-145.749309,191.0,bottom
U0,124.7924,-123.9648,0.0,bottom
U1,142.704,-115.7292,270.0,bottom
U2,126.859193,-93.271131,90.0,bottom
U26,114.971215,-79.730662,115.0,bottom
U4,109.460252,-79.984623,205.0,bottom
U5,119.407779,-36.230486,60.0,bottom
U6,112.798617,-49.595852,330.0,bottom
U7,106.020793,-40.780016,60.0,bottom
USBC1,110.289861,-71.273925,115.0,bottom
X1,133.221594,-87.962531,0.0,bottom
